YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
2005,,,19.2,15.9,15,12.1,12.1,11.4,13.8,14.8,16,19.2,
2006,20.2,20.1,19.5,17.4,13.5,9.2,9.6,10.5,12.9,13.8,15.7,15.2,14.8
2007,18.8,18.9,19,14.8,14.5,11.5,11.2,11.8,12.6,13.8,14.9,18,15
2008,20.4,19.3,18.8,16.4,12.4,12.4,10.9,11.3,12.5,14.2,15.9,17.6,15.2
2009,19,20.5,17.4,15.8,11.7,9.9,10,13,13,12.9,15.5,17.2,14.6
2010,19,20.7,18.3,15.7,13.7,11.8,9.7,12,13.3,13.5,15.8,19.6,15.3
2011,19.9,20.5,17.9,15.6,14.6,12.7,11,10,11.1,14.5,15.5,17.7,15.1
2012,18.1,19,17.1,15.9,12.7,10.9,10.6,11.7,12.8,13.6,14.6,18.6,14.6
2013,19.4,19,18.4,16.5,13.4,11.7,10.4,12.3,13.2,14.2,16.5,17.8,15.2
2014,18.2,19.8,17.5,17.1,13.3,12.6,10.2,11.2,13.2,14,14.7,17.6,14.9
2015,19.7,19.3,19.2,16.4,13.3,12.2,10.1,10.8,12.3,13.9,15.6,17.6,15
2016,20.5,21.4,19.3,16.6,15.6,12.3,11.4,10.7,13.4,14.2,15.7,17,15.7
2017,18.5,19.8,18.9,17.1,13.1,11.6,10.4,12.1,13.2,14.9,16.3,19.6,15.5
2018,22.1,20.7,19.3,16.6,14,11.2,10.5,11.4,12.7,13.2,15.8,18.4,15.5
2019,20.6,20.3,19.1,15.1,14,11.2,11.4,11.7,12.6,14.1,16.7,18.4,15.4
2020,19.1,20.5,18,15.6,13.6,12.5,11.1,11.9,12.6,14.8,16.5,17.9,15.3
2021,19.3,19.3,18.5,16.2,13.8,12.7,10.6,11.7,12.5,15,17.2,20.3,15.6
2022,20.6,21.5,19.7,17,14.6,12.7,12.5,12.2,12.7,14.4,16.8,18.7,16.1
2023,19.9,19.4,16.7,17.2,15.3,11.8,11.8,9.8,13.4,14.8,15.7,18.8,15.4
2024,20.7,19.4,17,16.1,12.3,13,11,11.4,13.2,14.3,16.2,18.9,15.3
2025,19.3,20.2,18,18.1,,,,,,,,,
